variable,speaker,time,word,realization
wh aspiration,KT004,1064.38,white,
wh aspiration,KT004,1119.54,when,
wh aspiration,KT004,1157.01,when,
wh aspiration,KT004,1185.65,when,
wh aspiration,KT004,1188.04,when,
wh aspiration,KT004,1300.19,when,
wh aspiration,KT004,1327.74,when,
wh aspiration,KT004,1357.08,while,
wh aspiration,KT004,1393.05,when,
wh aspiration,KT004,1397.41,when,
wh aspiration,KT004,1424.29,when,
wh aspiration,KT004,1447.55,whenever,
wh aspiration,KT004,1450.28,when,
wh aspiration,KT004,1468.39,what,
wh aspiration,KT004,1478.97,when,
wh aspiration,KT004,1482.19,when,
wh aspiration,KT004,1568.99,what,
wh aspiration,KT004,1577.26,worthwhile,
wh aspiration,KT004,1577.68,worthwhile,
wh aspiration,KT004,1645.39,when,
velar nasals,KT005,42.59,during,
velar nasals,KT005,71.56,young,
velar nasals,KT005,113.57,during,
velar nasals,KT005,183.98,leading,
velar nasals,KT005,193.45,think,
velar nasals,KT005,199.09,thing,
velar nasals,KT005,206.99,outlying,
velar nasals,KT005,262.44,nothing,
velar nasals,KT005,277.35,something,
velar nasals,KT005,294.71,swimming,
velar nasals,KT005,298.33,thing,
velar nasals,KT005,317.45,going,
velar nasals,KT005,337.13,thing,
velar nasals,KT005,347.28,think,
velar nasals,KT005,358.71,thing,
velar nasals,KT005,373.46,skating,
velar nasals,KT005,376.41,thing,
velar nasals,KT005,393.09,something,
velar nasals,KT005,421.09,stockings,
velar nasals,KT005,444.39,clothing,
velar nasals,KT005,455.49,anything,
velar nasals,KT005,469,everything,
velar nasals,KT005,504.03,bring,
velar nasals,KT005,513.4,flourishing,
velar nasals,KT005,521.69,mining,
velar nasals,KT005,528.4,living,
velar nasals,KT005,543.26,thing,
velar nasals,KT005,557.58,things,
velar nasals,KT005,567.64,working,
velar nasals,KT005,572.81,younger,
velar nasals,KT005,581.59,chopping,
velar nasals,KT005,590.46,thing,
velar nasals,KT005,614.33,having,
velar nasals,KT005,619.76,thing,
velar nasals,KT005,644.08,bring,
velar nasals,KT005,689.31,looking,
velar nasals,KT005,696.17,things,
velar nasals,KT005,703.66,anything,
velar nasals,KT005,717.49,things,
velar nasals,KT005,721.54,helping,
velar nasals,KT005,727.96,thing,
velar nasals,KT005,729.72,spring,
velar nasals,KT005,772.18,thrashing,
velar nasals,KT005,814.78,springs,
velar nasals,KT005,819.13,springs,
velar nasals,KT005,845.67,thing,
velar nasals,KT005,952.84,working,
velar nasals,KT005,990.46,everything,
velar nasals,KT005,997.31,everything,
velar nasals,KT005,1022.88,morning,
velar nasals,KT005,1025.36,function,
velar nasals,KT005,1028.33,something,
velar nasals,KT005,1028.71,going,
velar nasals,KT005,1076.51,getting,
velar nasals,KT005,1094.99,springtime,
velar nasals,KT005,1129.93,working,
velar nasals,KT005,1174.79,sitting,
velar nasals,KT005,1185.83,going,
velar nasals,KT005,1236.74,thing,
velar nasals,KT005,1239.54,during,
velar nasals,KT005,1249.07,riding,
velar nasals,KT005,1265.64,fishing,
velar nasals,KT005,1267.76,things,
velar nasals,KT005,1270.59,greeting,
velar nasals,KT005,1301.3,dipping,
velar nasals,KT005,1311.2,things,
velar nasals,KT005,1317.35,morning,
velar nasals,KT005,1319.28,hungry,
velar nasals,KT005,1324.44,thing,
velar nasals,KT005,1325.78,think,
velar nasals,KT005,1329.7,thing,
velar nasals,KT005,1332.05,bring,
velar nasals,KT005,1334.88,teachings,
velar nasals,KT005,1361.72,going,
velar nasals,KT005,1375.25,knowing,
velar nasals,KT005,1390.93,going,
velar nasals,KT005,1393.52,going,
velar nasals,KT005,1416.85,going,
velar nasals,KT005,1417.65,something,
velar nasals,KT005,1429.24,going,
velar nasals,KT005,1434.88,going,
velar nasals,KT005,1439.37,think,
velar nasals,KT005,1448.98,anything,
velar nasals,KT005,1478.56,something,
velar nasals,KT005,1508.64,things,
velar nasals,KT005,1525.25,sprinkling,
velar nasals,KT005,1525.53,sprinkling,
velar nasals,KT005,1528.24,thing,
velar nasals,KT005,1549.27,things,
velar nasals,KT005,1565.09,during,
velar nasals,KT005,1601.74,during,
velar nasals,KT005,1602.9,beginning,
velar nasals,KT005,1613.41,think,
velar nasals,KT005,1620.61,living,
velar nasals,KT005,1658.13,working,
velar nasals,KT005,1661.01,having,
velar nasals,KT005,1737.78,buying,
velar nasals,KT005,1779.29,herding,
velar nasals,KT005,1783.46,getting,
velar nasals,KT005,1807.02,pulling,
velar nasals,KT005,1816.22,young,
velar nasals,KT005,1860.36,getting,
velar nasals,KT005,1866.31,being,
velar nasals,KT005,1898.8,spring,
velar nasals,KT005,1972.12,washing,
velar nasals,KT005,1991.5,washing,
velar nasals,KT005,1998.99,during,
velar nasals,KT005,2013.37,hung,
velar nasals,KT005,2050.32,things,
velar nasals,KT005,2054.7,things,
velar nasals,KT005,2107.68,huntington,
velar nasals,KT005,2122.84,morning,
velar nasals,KT005,2144.44,during,
